bin	marker lineage	Completeness	Contamination	Mean contig length	N50 (contigs)	Coding density	# contigs	Genome size	GC
tig00001089	root	0.0	0.0	1011674.0	1011674	0.91	1	1011674	0.55
tig00000513	root	4.17	0.0	1119434.0	1119434	0.89	1	1119434	0.57
tig01360638	root	4.17	0.0	1197998.0	1197998	0.88	1	1197998	0.64
tig00000587	k__Bacteria	8.77	0.0	1014876.0	1014876	0.88	1	1014876	0.63
tig01360635	k__Bacteria	8.62	0.0	1161199.0	1161199	0.9	1	1161199	0.64
tig00000277	k__Bacteria	35.09	0.0	1844194.0	1844194	0.89	1	1844194	0.63
tig00000528	c__Alphaproteobacteria	46.96	0.0	1626962.0	1626962	0.87	1	1626962	0.57
tig00000001	f__Paenibacillaceae	97.04	0.76	4922906.0	4922906	0.86	1	4922906	0.38


