bin	marker lineage	Completeness	Contamination	Mean contig length	N50 (contigs)	Coding density	# contigs	Genome size	GC
tig00000182	f__Enterobacteriaceae	50.77	0.04	2402354.0	2402354	0.87	1	2402354	0.58
tig00000227	p__Bacteroidetes	100.0	0.0	5943917.0	5943917	0.92	1	5943917	0.39
tig00000103	g__Pseudomonas	99.36	3.06	6239742.0	6239742	0.89	1	6239742	0.62
tig00000121	f__Enterobacteriaceae	99.85	1.68	6377575.0	6377575	0.88	1	6377575	0.53
tig00000059	f__Pseudomonadaceae	98.9	0.83	6921665.0	6921665	0.88	1	6921665	0.62
tig00000060	f__Comamonadaceae	99.85	0.0	6670277.0	6670277	0.9	1	6670277	0.67
tig00000003	f__Pseudomonadaceae	99.38	2.06	7001078.0	7001078	0.89	1	7001078	0.63
tig00000283	f__Comamonadaceae	99.38	1.12	5497482.0	5497482	0.88	1	5497482	0.63
tig00000092	f__Comamonadaceae	99.85	1.44	7073052.0	7073052	0.9	1	7073052	0.66
tig00000293	p__Bacteroidetes	100.0	0.0	5410441.0	5410441	0.92	1	5410441	0.39
tig00001326	o__Sphingomonadales	99.48	3.1	3574087.0	3574087	0.91	1	3574087	0.65
tig00001467	root	8.33	0.0	1396481.0	1396481	0.87	1	1396481	0.58
tig00001409	k__Bacteria	44.83	0.0	2659227.0	2659227	0.89	1	2659227	0.67
tig00000415	f__Paenibacillaceae	98.12	0.57	4617219.0	4617219	0.85	1	4617219	0.39
tig00001393	c__Alphaproteobacteria	99.68	1.19	3322720.0	3322720	0.91	1	3322720	0.67
tig00001560	root	12.5	0.0	1985858.0	1985858	0.85	1	1985858	0.39
tig00000432	o__Flavobacteriales	100.0	1.96	4268679.0	4268679	0.89	1	4268679	0.35
tig00001291	f__Paenibacillaceae	97.58	0.18	4102150.0	4102150	0.89	1	4102150	0.45
tig00000430	f__Paenibacillaceae	98.12	4.53	5353995.0	5353995	0.86	1	5353995	0.38
tig00001242	f__Xanthomonadaceae	100.0	0.0	4462505.0	4462505	0.89	1	4462505	0.66
tig00001629	f__Paenibacillaceae	31.72	0.0	1484430.0	1484430	0.84	1	1484430	0.39
tig00001531	o__Actinomycetales	98.82	0.0	3041474.0	3041474	0.92	1	3041474	0.7
tig00001468	c__Alphaproteobacteria	99.35	0.97	3237402.0	3237402	0.9	1	3237402	0.67
